user_id,spend_month,age,gender,region,total_spend,CAT1_교통,CAT1_쇼핑,CAT1_식품,CAT1_교육/문화,CAT1_생활/주거,CAT1_레저/여행,CAT1_자기계발,CAT1_기타 지출,CAT2_대중교통,CAT2_자가용/연료,CAT2_택시/대리,CAT2_항공/기차,CAT2_의류,CAT2_잡화/뷰티,CAT2_명품/쥬얼리,CAT2_전자제품,CAT2_외식/배달,CAT2_가정식/식재료,CAT2_주점/유흥,CAT2_커피/음료,CAT2_사교육/학원,CAT2_도서/음반,CAT2_문화생활/취미,CAT2_온라인강의,CAT2_공과금/통신,CAT2_병원/약국,CAT2_인테리어/가구,CAT2_보험/금융,CAT2_국내여행/숙박,CAT2_해외여행/항공,CAT2_레포츠/취미,CAT2_기타 여가,CAT2_자격증/어학,CAT2_운동/피트니스,CAT2_온라인 구독,CAT2_도구/재료 구매,CAT2_현금서비스,CAT2_경조사/기부,CAT2_해외 직구,CAT2_금융 수수료,cluster
UID_0001,0,45,F,서울,219,23,20,34,12,31,39,23,33,2,8,6,5,2,5,7,5,11,9,2,10,0,3,4,2,16,2,5,6,7,12,9,10,6,6,6,4,12,8,7,4,1
UID_0001,0,45,F,서울,334,42,42,49,24,36,35,35,67,6,16,15,4,9,7,10,15,10,16,10,11,7,7,4,4,16,8,2,9,7,5,6,16,17,6,2,10,26,15,7,17,2
UID_0001,0,45,F,서울,243,122,2,6,15,4,18,42,32,29,30,20,41,0,0,0,0,1,1,1,1,2,3,4,4,0,0,1,1,6,7,1,1,6,18,11,6,10,7,8,6,1
UID_0001,0,45,F,서울,221,32,25,26,19,50,19,30,17,16,6,6,2,7,9,6,2,9,5,5,5,3,1,1,12,11,18,15,5,3,5,2,7,8,1,11,8,4,4,6,2,1
UID_0001,0,45,F,서울,104,11,19,21,7,9,8,11,13,3,3,2,2,5,4,5,3,3,10,2,5,0,2,2,1,2,2,2,2,2,1,2,2,3,2,2,3,4,5,0,3,0
UID_0001,0,45,F,서울,128,10,18,20,21,17,11,10,17,6,0,1,2,3,2,5,7,6,8,3,1,8,2,5,4,3,5,2,5,3,5,1,0,1,2,2,4,3,5,4,4,1
UID_0001,0,45,F,서울,271,36,27,34,37,19,24,48,42,3,3,11,18,8,8,8,1,8,8,5,12,10,5,8,13,1,7,3,6,5,9,5,4,8,16,15,9,10,9,12,9,2
UID_0001,0,45,F,서울,79,8,13,8,7,18,11,6,4,2,1,2,1,1,3,5,3,1,2,1,3,3,0,1,1,13,0,2,3,2,1,4,2,1,1,2,1,1,0,1,1,0
UID_0001,0,45,F,서울,381,35,27,53,29,75,33,63,63,3,6,8,16,5,6,3,11,17,14,6,14,10,7,8,3,13,21,13,26,4,11,9,7,14,17,9,21,11,24,9,18,2
UID_0001,0,45,F,서울,266,32,33,42,43,25,35,38,14,8,0,17,6,10,7,8,6,9,14,12,6,7,10,4,20,1,7,5,10,15,10,1,8,5,16,13,3,3,2,4,4,2
UID_0001,0,45,F,서울,301,27,25,19,35,31,67,47,47,3,10,9,3,5,7,6,6,7,5,3,4,6,5,11,12,5,4,7,14,11,12,13,29,10,8,10,17,17,11,4,14,2
UID_0002,0,41,F,전남,55,6,6,5,11,4,12,5,3,0,2,2,1,0,1,1,1,1,0,1,1,1,3,2,2,1,1,0,0,7,1,0,1,1,1,0,0,0,2,0,0,0
UID_0002,0,41,F,전남,157,32,15,18,16,21,16,19,16,8,10,2,10,3,4,2,4,5,8,2,2,6,5,1,2,1,7,5,6,0,3,4,7,2,11,1,4,1,7,1,5,1
UID_0002,0,41,F,전남,55,5,4,5,9,7,6,9,6,0,1,2,0,0,1,1,0,1,0,1,1,0,3,3,2,1,2,1,2,1,2,0,1,2,2,1,3,0,2,1,1,0
UID_0002,0,41,F,전남,207,10,19,8,5,50,39,11,60,2,3,1,3,8,3,3,4,2,1,2,2,1,1,1,1,6,13,11,19,21,7,2,8,3,2,3,2,18,16,15,10,1
UID_0002,0,41,F,전남,266,22,27,39,25,27,28,47,46,4,10,2,5,11,7,4,4,0,2,24,12,5,6,5,7,20,1,0,4,8,7,7,4,1,10,17,18,14,8,9,14,2
UID_0002,0,41,F,전남,135,11,10,18,8,26,8,28,21,1,2,5,2,3,1,1,3,6,2,6,3,2,2,1,1,9,2,7,6,2,2,1,1,22,2,0,3,5,4,1,10,1
UID_0002,0,41,F,전남,243,42,40,33,35,31,20,16,22,17,5,9,10,7,7,16,9,23,2,1,5,10,13,4,6,13,8,5,4,5,6,6,2,5,2,2,5,5,6,4,6,1
UID_0002,0,41,F,전남,234,37,41,36,19,16,30,33,19,13,10,4,8,5,15,9,11,8,9,4,14,4,7,5,2,2,10,2,0,13,8,1,6,7,7,7,11,4,6,1,5,1
UID_0002,0,41,F,전남,339,51,50,29,39,29,38,35,63,5,29,11,5,23,8,17,1,6,3,9,10,11,7,11,9,7,2,7,11,20,7,6,5,7,18,5,4,25,9,8,20,2
UID_0002,0,41,F,전남,64,27,5,7,7,2,8,0,4,5,9,7,5,1,0,2,1,1,1,1,2,0,2,1,2,0,0,0,0,3,3,1,0,0,0,0,0,0,1,1,1,0
UID_0002,0,41,F,전남,290,25,59,19,19,37,55,20,51,2,7,9,6,31,3,13,10,6,4,4,3,4,7,1,5,7,14,13,3,11,15,7,20,8,5,3,4,15,15,12,8,2
UID_0002,0,41,F,전남,265,22,39,36,34,38,28,29,35,2,12,2,4,9,3,12,13,8,6,11,10,10,3,7,13,15,4,9,8,6,5,7,8,4,5,17,1,1,19,3,10,2
UID_0002,0,41,F,전남,94,6,7,11,13,10,12,14,17,1,1,1,1,1,2,1,2,5,1,1,2,5,2,2,3,3,2,1,2,3,2,3,2,3,3,3,5,3,3,5,5,0
UID_0002,0,41,F,전남,294,59,17,34,25,60,25,35,34,19,8,13,18,5,2,4,5,9,4,13,7,8,7,6,3,17,13,7,21,3,6,9,5,7,3,11,13,18,2,9,4,2
UID_0003,0,35,M,전북,91,13,12,10,7,13,13,9,10,3,2,4,2,2,2,3,4,6,0,1,2,2,0,2,1,3,6,1,1,2,2,2,5,2,3,2,1,1,3,3,1,0
UID_0003,0,35,M,전북,271,29,38,27,38,29,37,28,42,6,6,13,3,10,9,8,9,4,9,9,3,7,9,7,14,1,5,15,5,9,15,5,6,5,9,2,10,9,7,4,20,2
UID_0003,0,35,M,전북,155,12,17,17,21,15,29,16,24,1,2,1,6,4,3,5,3,1,5,8,2,3,4,6,6,1,6,2,4,0,17,7,5,3,2,7,2,3,9,4,7,1
UID_0003,0,35,M,전북,117,19,10,22,16,14,11,8,13,4,6,4,4,1,0,1,6,8,5,2,5,3,3,4,5,4,5,2,1,2,3,3,2,1,2,2,2,4,8,0,1,0
UID_0003,0,35,M,전북,187,27,24,21,22,14,27,26,23,5,9,7,5,6,6,0,11,9,3,3,4,5,6,7,2,2,3,2,5,7,6,5,7,7,0,7,10,4,8,5,4,1
UID_0003,0,35,M,전북,211,26,41,20,31,24,31,20,14,3,7,11,4,3,16,7,13,5,7,2,5,9,11,8,1,2,5,7,9,0,24,6,0,3,5,5,7,6,3,3,1,1
UID_0003,0,35,M,전북,253,43,35,31,21,20,38,27,34,5,13,13,11,17,3,7,7,11,5,11,2,7,3,6,4,7,5,4,2,6,7,8,15,2,2,4,17,6,5,12,11,2
UID_0003,0,35,M,전북,84,8,9,18,8,6,10,10,10,3,1,2,1,1,2,2,3,2,6,5,4,2,1,1,2,1,0,2,0,0,5,2,1,8,1,0,0,4,1,1,3,0
UID_0003,0,35,M,전북,249,40,33,16,29,16,37,40,33,15,7,11,5,6,6,12,8,3,4,5,2,6,8,4,10,1,7,5,2,7,11,6,12,6,23,6,3,11,12,0,8,1
UID_0003,0,35,M,전북,25,2,2,1,2,5,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
UID_0003,0,35,M,전북,261,25,40,19,41,38,34,25,36,4,6,6,8,4,15,5,14,5,3,3,6,13,10,12,5,8,18,6,5,12,0,4,15,4,9,5,5,15,5,6,8,2
UID_0004,0,20,F,서울,108,9,16,12,10,23,13,10,11,3,2,1,2,6,1,4,3,2,2,2,5,0,2,4,3,7,5,8,1,3,4,0,4,1,2,3,2,2,2,2,3,0
UID_0004,0,20,F,서울,36,1,3,0,9,6,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,0,1,0,2,3,4,2,2,0,0,0,0,0,0,0,0,0
UID_0004,0,20,F,서울,54,9,4,6,4,11,7,2,8,3,1,2,1,1,0,1,0,0,1,2,1,0,0,1,1,3,3,1,2,0,1,4,0,0,0,1,0,2,2,0,2,0
UID_0004,0,20,F,서울,12,0,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UID_0004,0,20,F,서울,100,8,14,9,16,8,20,10,11,2,2,3,0,5,4,2,2,1,6,0,1,3,2,4,5,2,2,2,1,5,9,0,4,3,2,3,0,4,1,1,3,0
UID_0004,0,20,F,서울,128,23,24,12,19,13,14,8,10,2,4,11,4,12,2,3,6,2,1,5,2,3,3,8,4,4,5,2,1,1,3,5,3,1,2,0,4,4,2,1,2,1
UID_0004,0,20,F,서울,140,13,17,17,15,8,15,22,29,6,1,3,2,7,2,4,2,3,1,7,4,1,3,2,8,1,3,1,2,3,3,4,4,5,3,5,8,3,9,7,9,1
UID_0004,0,20,F,서울,123,10,22,4,23,20,15,11,13,3,2,2,3,11,3,4,3,0,0,3,0,4,5,5,8,5,1,5,8,3,3,1,6,2,1,3,3,2,2,5,3,1
UID_0004,0,20,F,서울,194,27,24,21,32,15,30,21,19,15,1,5,5,11,5,3,4,3,1,12,3,2,4,1,24,5,3,4,2,10,9,5,6,2,4,7,6,4,4,2,7,1
UID_0004,0,20,F,서울,88,6,13,18,6,14,10,6,11,1,1,0,2,8,1,1,1,5,8,3,2,1,3,0,1,2,6,3,2,1,3,4,0,0,1,1,2,2,4,0,3,0
UID_0004,0,20,F,서울,14,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UID_0004,0,20,F,서울,20,3,2,1,3,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UID_0004,0,20,F,서울,143,21,16,21,20,12,18,10,21,4,2,6,7,7,1,3,4,5,4,7,4,7,3,4,6,1,10,0,1,2,5,6,2,3,2,3,1,3,5,7,4,1
UID_0004,0,20,F,서울,176,23,20,24,19,16,17,26,27,5,7,5,4,5,1,0,12,8,4,6,4,2,7,2,7,2,2,7,4,2,3,2,8,9,3,7,4,10,3,7,6,1
UID_0004,0,20,F,서울,197,28,32,33,22,19,23,18,17,11,7,5,3,10,9,1,10,6,10,4,12,1,3,9,8,3,2,4,8,4,5,8,4,8,7,0,2,7,2,3,4,1
UID_0004,0,20,F,서울,18,1,1,3,1,2,2,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UID_0004,0,20,F,서울,42,4,5,3,4,6,4,6,6,1,0,0,0,1,1,1,0,0,0,0,1,0,0,2,1,1,1,0,1,1,0,0,2,1,0,2,1,1,3,0,1,0
UID_0004,0,20,F,서울,62,9,6,7,6,7,7,6,10,2,2,2,1,3,1,0,1,0,2,2,1,1,1,2,1,1,2,0,3,1,2,3,0,3,1,0,0,0,3,3,2,0
UID_0004,0,20,F,서울,149,18,13,12,26,12,31,20,12,5,4,4,4,2,3,5,2,0,2,4,5,2,1,16,7,1,3,1,5,11,5,8,6,4,6,5,4,3,3,2,2,1
UID_0004,0,20,F,서울,127,24,13,18,8,17,18,9,16,9,2,6,6,8,1,1,2,5,4,1,6,1,0,4,1,4,5,2,6,2,4,8,3,2,3,1,2,2,2,7,3,1
UID_0004,0,20,F,서울,31,1,2,3,6,3,6,5,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,0,1,0,0
UID_0005,0,35,F,인천,230,33,24,58,25,19,33,21,13,6,5,7,13,3,7,7,5,19,10,15,14,5,7,5,7,7,5,2,3,4,5,13,9,3,6,2,8,4,4,3,1,1
UID_0005,0,35,F,인천,88,8,19,12,9,7,10,12,7,1,2,2,1,2,8,3,4,1,6,2,2,3,1,1,2,2,1,3,0,3,1,2,2,3,0,5,2,2,2,1,0,0
UID_0005,0,35,F,인천,47,6,3,6,4,5,8,3,8,0,4,0,0,0,1,0,0,2,2,0,0,1,0,0,1,1,0,2,1,1,2,2,2,0,0,0,1,0,3,1,2,0
UID_0005,0,35,F,인천,111,15,13,20,6,18,9,11,16,4,7,2,1,2,5,1,4,5,4,3,6,0,2,2,1,5,6,2,3,1,2,1,3,2,4,2,2,7,2,1,4,0
UID_0005,0,35,F,인천,163,16,17,23,15,22,18,31,18,3,7,2,2,5,4,4,3,6,7,3,4,2,4,3,5,5,5,1,9,2,2,7,5,17,6,0,7,8,3,3,2,1
UID_0005,0,35,F,인천,208,30,38,17,19,23,35,17,26,3,16,7,3,9,9,8,10,4,3,5,4,6,5,3,3,2,3,11,6,7,15,4,8,2,6,3,4,11,5,7,2,1
UID_0005,0,35,F,인천,112,10,9,15,14,15,10,13,22,2,2,1,4,1,5,0,1,6,2,2,4,1,7,0,5,4,3,5,2,3,0,5,0,0,6,4,1,6,1,1,11,0
UID_0005,0,35,F,인천,40,1,4,7,5,1,10,6,3,0,0,0,0,1,0,0,1,1,0,1,3,0,1,2,1,0,0,0,0,3,3,1,2,1,1,1,2,0,0,0,2,0
UID_0005,0,35,F,인천,104,18,11,7,10,12,9,12,20,3,3,8,3,1,3,3,3,2,1,1,1,1,2,1,5,2,3,4,2,1,4,3,0,5,3,1,2,3,5,9,2,0
UID_0005,0,35,F,인천,92,10,21,11,5,12,4,17,8,2,3,3,1,2,7,6,3,1,1,6,2,1,0,0,3,2,3,3,3,1,0,0,1,8,3,0,4,1,2,1,2,0
UID_0006,0,36,F,대전,54,0,3,6,9,6,2,22,2,0,0,0,0,0,1,0,0,1,2,0,0,3,0,4,1,2,0,0,2,0,0,1,0,5,5,7,4,0,1,0,0,0
UID_0006,0,36,F,대전,236,22,50,50,40,33,11,16,9,4,5,5,7,25,15,2,6,9,8,15,17,18,6,3,11,8,5,11,7,1,1,6,2,4,4,4,4,2,2,0,3,1
UID_0006,0,36,F,대전,168,12,29,16,18,26,24,19,20,1,4,3,3,6,3,6,11,7,1,2,5,1,7,5,3,4,3,12,5,6,2,9,6,1,3,4,9,5,4,4,6,1
UID_0006,0,36,F,대전,307,28,68,19,46,28,38,37,39,6,8,4,8,24,17,8,18,4,2,1,11,16,7,8,13,8,7,5,6,9,6,9,11,11,5,13,6,9,17,9,3,2
UID_0006,0,36,F,대전,241,23,30,34,36,28,32,17,35,1,2,17,2,6,9,8,5,8,13,6,6,3,5,14,12,5,8,11,3,10,8,9,5,1,7,5,3,15,5,7,6,1
UID_0006,0,36,F,대전,289,34,37,37,39,25,24,28,60,9,13,3,9,6,11,14,5,8,10,9,9,5,10,12,11,6,6,6,5,4,4,9,5,6,6,2,11,25,6,15,12,2
UID_0006,0,36,F,대전,302,40,11,26,47,39,42,44,49,9,8,10,11,2,3,2,3,3,5,13,4,9,9,14,13,7,8,14,8,3,24,11,2,24,7,1,11,2,15,11,20,2
UID_0006,0,36,F,대전,198,32,38,3,33,18,49,9,11,4,5,12,10,8,9,7,12,1,1,0,0,9,4,10,9,6,4,3,4,10,10,11,17,2,2,1,2,2,3,3,2,1
UID_0006,0,36,F,대전,203,22,21,30,32,17,39,14,24,3,8,5,5,3,5,8,3,9,14,2,3,8,9,5,8,4,1,3,8,9,16,9,3,4,5,4,0,2,6,7,8,1
UID_0006,0,36,F,대전,247,29,24,36,49,23,16,32,34,15,2,5,5,4,3,11,4,13,10,6,5,12,12,14,10,4,4,9,4,4,3,3,5,7,10,10,4,15,7,6,5,1
UID_0006,0,36,F,대전,73,9,6,11,4,11,10,10,7,1,2,2,2,1,2,1,1,4,2,2,1,1,0,1,0,4,1,4,1,2,1,3,2,0,3,2,3,1,1,3,1,0
UID_0006,0,36,F,대전,41,4,9,5,3,5,4,3,4,1,1,1,0,2,3,1,2,2,0,0,1,0,1,1,0,1,1,2,0,2,0,0,0,1,0,0,0,0,1,1,1,0
UID_0006,0,36,F,대전,109,12,17,15,9,16,14,12,11,3,3,0,4,4,4,3,5,6,3,2,2,3,1,2,1,5,7,2,1,3,1,6,3,3,2,3,2,4,2,2,0,0
UID_0006,0,36,F,대전,80,11,7,10,5,11,12,5,14,2,2,3,2,1,1,3,1,0,1,1,6,1,0,2,0,1,2,2,4,2,0,2,6,3,1,0,0,5,3,2,2,0
UID_0007,0,20,M,대전,167,18,24,27,37,15,15,9,19,3,2,6,5,5,5,6,7,6,10,4,5,11,6,11,7,1,3,4,5,5,4,3,1,1,2,0,3,6,3,2,5,1
UID_0007,0,20,M,대전,32,3,2,3,5,1,4,5,5,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,3,0,0,1,2,1,1,1,2,0,0
UID_0007,0,20,M,대전,169,25,17,23,21,13,23,35,8,7,8,1,8,9,2,3,2,4,4,8,5,2,3,12,3,5,1,2,3,5,9,1,6,14,6,6,8,2,1,3,1,1
UID_0007,0,20,M,대전,89,11,6,13,16,8,14,8,8,6,2,1,1,1,1,1,2,2,1,6,2,1,2,8,4,0,1,4,2,4,1,1,6,2,2,3,0,2,1,1,3,0
UID_0007,0,20,M,대전,198,18,23,28,23,19,29,36,18,8,4,2,2,14,2,4,2,6,8,5,7,1,1,11,8,3,3,5,6,7,11,4,6,13,10,10,3,8,1,7,1,1
UID_0007,0,20,M,대전,163,7,36,10,4,55,6,12,30,2,0,2,1,7,12,4,11,2,3,3,2,1,0,1,1,15,17,11,10,0,2,2,1,5,3,1,1,2,6,8,12,1
UID_0007,0,20,M,대전,13,1,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UID_0007,0,20,M,대전,126,15,16,9,18,18,15,14,17,9,2,2,1,8,5,0,1,1,1,2,3,2,4,8,2,7,1,4,5,4,2,7,1,4,1,3,5,3,6,2,5,1
UID_0007,0,20,M,대전,24,3,2,1,2,3,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0
UID_0007,0,20,M,대전,146,17,23,10,17,20,19,21,15,1,4,6,5,3,6,7,5,2,1,3,2,4,2,5,5,10,6,1,3,4,7,3,3,5,7,4,3,5,3,1,4,1
UID_0007,0,20,M,대전,39,2,5,3,5,3,2,8,8,0,1,0,0,2,1,1,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,2,2,0,2,1,3,2,1,0
UID_0007,0,20,M,대전,68,10,4,15,5,6,9,5,10,2,3,2,2,1,0,1,1,4,3,2,4,1,1,1,1,2,0,2,1,1,2,1,3,1,1,0,2,1,2,2,3,0
UID_0007,0,20,M,대전,149,17,11,17,21,17,22,14,26,8,2,0,5,5,2,1,1,2,4,8,1,2,3,6,8,3,1,5,7,3,9,6,3,2,4,5,1,9,6,7,3,1
UID_0007,0,20,M,대전,68,0,28,0,3,1,7,12,12,0,0,0,0,14,4,6,2,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,1,2,3,2,4,3,4,3,0,0
UID_0007,0,20,M,대전,57,5,7,7,6,5,3,10,10,3,0,0,0,2,1,0,2,1,0,3,2,1,1,1,2,1,1,2,1,1,0,0,1,3,3,1,2,2,4,1,2,0
UID_0007,0,20,M,대전,13,2,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UID_0007,0,20,M,대전,28,2,4,4,2,3,2,3,4,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,1,2,0
UID_0007,0,20,M,대전,154,17,10,15,18,17,23,18,33,2,2,3,7,3,3,1,2,5,0,6,2,4,2,4,6,2,6,5,3,5,6,3,6,3,2,4,7,9,6,4,11,1
UID_0007,0,20,M,대전,38,5,3,3,3,8,2,5,5,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,3,1,1,2,0,0,0,0,2,1,0,0,1,1,2,0,0
UID_0007,0,20,M,대전,110,12,12,20,12,11,20,9,10,3,3,2,3,6,1,1,2,4,2,6,7,1,3,5,2,0,1,0,9,3,2,6,7,1,3,3,1,3,2,1,2,0
UID_0007,0,20,M,대전,133,12,17,14,21,14,6,27,18,3,2,1,4,4,5,4,2,3,2,4,3,3,5,8,4,2,2,4,5,1,1,2,1,5,6,5,9,3,2,7,5,1
UID_0007,0,20,M,대전,190,16,26,15,23,22,30,34,21,3,7,3,2,13,4,5,2,2,4,4,2,3,3,8,8,3,9,4,4,6,6,7,9,3,5,11,14,5,3,9,2,1
UID_0008,0,20,F,강원,38,3,6,7,1,4,2,5,6,1,1,0,0,3,1,1,0,0,1,4,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,2,0,2,0,3,0
UID_0008,0,20,F,강원,97,12,12,13,20,8,6,7,14,3,2,1,4,2,1,4,3,2,2,5,2,1,2,7,7,1,2,2,1,1,0,1,2,2,1,1,2,2,4,5,2,0
UID_0008,0,20,F,강원,182,20,8,31,34,13,27,21,24,5,7,2,4,3,1,1,2,3,8,13,5,3,12,9,10,3,4,4,0,7,5,4,10,6,4,5,4,7,5,3,8,1
UID_0008,0,20,F,강원,180,34,15,14,16,16,27,25,31,9,7,7,9,7,1,2,3,2,5,4,1,1,1,12,0,3,1,6,3,5,13,4,4,10,5,6,3,4,11,10,6,1
UID_0008,0,20,F,강원,60,5,6,14,5,7,7,6,7,3,1,0,0,2,0,2,1,2,3,4,2,0,1,1,2,2,1,1,1,0,1,2,1,2,1,0,1,1,2,2,1,0
UID_0008,0,20,F,강원,138,11,12,13,18,32,15,15,16,2,2,3,3,6,2,0,3,1,3,3,5,3,2,9,3,10,5,9,6,4,2,6,1,3,4,4,3,3,4,2,5,1
UID_0008,0,20,F,강원,146,12,21,19,28,26,12,9,17,5,1,3,1,3,5,8,3,4,3,9,2,11,3,5,8,7,4,10,3,0,5,3,3,4,1,1,2,3,2,4,5,1
UID_0008,0,20,F,강원,150,19,34,22,13,21,16,12,8,8,2,3,4,17,7,5,3,4,4,7,6,1,4,4,2,3,5,7,5,4,3,2,4,4,3,3,2,2,2,2,1,1
UID_0008,0,20,F,강원,128,13,14,20,12,20,17,23,6,5,2,2,3,4,5,1,3,2,2,11,3,2,2,6,2,5,3,8,3,2,2,2,9,8,6,2,7,2,1,0,1,1
UID_0008,0,20,F,강원,19,1,2,1,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
UID_0008,0,20,F,강원,170,22,15,16,28,30,19,16,19,10,3,3,4,9,3,1,1,2,1,7,5,3,6,12,6,14,2,5,7,5,6,6,1,2,0,10,3,5,3,5,4,1
UID_0008,0,20,F,강원,24,1,3,3,2,1,1,3,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0
UID_0008,0,20,F,강원,60,17,6,10,1,2,2,5,13,5,5,3,4,1,2,0,1,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,3,3,3,3,0
UID_0009,0,20,M,충남,80,9,8,5,20,14,7,5,9,3,2,0,2,1,2,2,1,0,1,2,1,2,1,8,8,3,2,5,2,2,3,1,1,1,0,0,2,2,1,4,1,0
UID_0009,0,20,M,충남,136,9,19,20,8,27,14,13,21,4,1,2,1,4,2,6,5,4,2,9,3,0,0,4,3,12,5,2,6,1,4,2,6,3,2,6,1,6,4,4,6,1
UID_0009,0,20,M,충남,43,4,3,3,4,3,11,6,5,2,0,0,1,2,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,2,2,4,2,1,0,1,3,1,0,1,1,0
UID_0009,0,20,M,충남,143,15,13,14,13,14,21,27,21,5,3,4,1,6,1,2,3,3,1,6,3,1,2,4,4,4,1,4,4,7,4,3,5,7,0,5,13,5,3,8,4,1
UID_0009,0,20,M,충남,156,24,22,16,17,11,21,14,26,9,3,6,6,15,1,2,3,6,2,5,1,4,2,5,5,1,0,3,6,8,6,1,5,4,4,1,4,19,1,4,1,1
